,title,views,reads,ratio,fans,date,time
0,1 - A 7 steps guide to install and run LaMini-LM on your computer,4,1,25.0,2,2023-06-01,12
1,2 - The Struggles Python Programmers Face with Development Tools,59,18,30.508474576271187,6,2023-06-01,12
2,3 - LaMini power: when a small guy can beat the Giants,437,192,43.93592677345538,15,2023-06-01,12
3,4 - LaMini is here: a little giant LLM on your CPU,4612,598,12.966175195143105,74,2023-06-01,12
4,5 - Create a Chatbot for your website in 5 minutes,1868,342,18.30835117773019,24,2023-06-01,12
6,7 - GPT4All is the Local ChatGPT for your documentsâ€¦ and it is free!,55723,9543,17.12578289036843,647,2023-06-01,12
8,9 - Automate Youtube video views with python and Selenium,503,176,34.990059642147116,15,2023-06-01,12
10,11 - Answering Question About your Documents Using LangChain (and NOT OpenAI),22971,4212,18.33616298811545,388,2023-06-01,12
12,13 - Open Assistant AI is the best,346,136,39.30635838150289,4,2023-06-01,12
15,16 - AI Writer assistantâ€¦ for FREE,369,155,42.00542005420054,19,2023-06-01,12
