,title,views,reads,ratio,fans,date,time
0,1 - Create a Chatbot for your website in 5 minutes,333,73,21.92192192192192,6,2023-05-20,08
1,2 - Lesson Learned?,44,17,38.63636363636363,2,2023-05-20,08
2,3 - GPT4All is the Local ChatGPT for your documentsâ€¦ and it is free!,18376,3388,18.437091858946452,273,2023-05-20,08
3,"4 - Hope for the best, plan for the worst",28,9,32.142857142857146,1,2023-05-20,08
4,5 - Automate Youtube video views with python and Selenium,188,62,32.97872340425532,7,2023-05-20,08
5,6 - Why We Still Need One-Minute Managers,163,4,2.4539877300613497,3,2023-05-20,08
6,7 - Answering Question About your Documents Using LangChain (and NOT OpenAI),13594,2725,20.045608356627923,278,2023-05-20,08
7,8 - Why we still need One Minute Managers,8,1,12.5,0,2023-05-20,08
8,9 - Open Assistant AI is the best,262,108,41.221374045801525,4,2023-05-20,08
9,10 - PLCâ€¦ The code that moves the world we live in,104,24,23.076923076923077,2,2023-05-20,08
10,11 - Lesson Learned?,60,31,51.666666666666664,0,2023-05-20,08
11,12 - AI Writer assistantâ€¦ for FREE,260,107,41.15384615384615,17,2023-05-20,08
12,13 - Bridging the Gap Between Academia and Industry,71,20,28.169014084507044,8,2023-05-20,08
13,14 - When you give up on Quality,26,6,23.076923076923077,3,2023-05-20,08
14,"15 - Write down everything, send email to everyone",37,27,72.97297297297297,0,2023-05-20,08
15,16 - Give your python code a nice GUI,67,24,35.82089552238806,0,2023-05-20,08
16,17 - Maintenance Override Switch,84,31,36.904761904761905,1,2023-05-20,08
17,18 - If it worksâ€¦ donâ€™t touch it!,31,15,48.38709677419355,1,2023-05-20,08
18,19 - Donâ€™t ask your Final Element to Solve your logic problems,24,15,62.5,0,2023-05-20,08
19,20 - Timer on Delay,41,20,48.78048780487805,2,2023-05-20,08
20,21 - Python and API to download your favorite Anime episodes,18,3,16.666666666666668,0,2023-05-20,08
21,22 - The twilight of maintenance?,31,17,54.83870967741935,1,2023-05-20,08
22,23 - Explain me like I am 50,82,36,43.90243902439025,6,2023-05-20,08
